iter	RMSE
0	14.005006
1	13.15382085
2	12.33575167
3	11.63701129
4	11.00640974
5	10.44893633
6	9.892158398
7	9.449032414
8	9.025802881
9	8.595539667
10	8.237786762
11	7.963668283
12	7.703116659
13	7.430856616
14	7.208517315
15	7.04054395
16	6.845562392
17	6.702429089
18	6.547932843
19	6.41973101
20	6.286869145
21	6.161757199
22	6.057165492
23	5.968026151
24	5.880382504
25	5.808396887
26	5.740827708
27	5.673112951
28	5.617972206
29	5.567756929
30	5.526129549
31	5.480347663
32	5.438500747
33	5.411711781
34	5.385134231
35	5.360533986
36	5.335322145
37	5.306233096
38	5.285715518
39	5.269553068
40	5.245717125
41	5.233302068
42	5.219374857
43	5.199636033
44	5.18514926
45	5.166041578
46	5.147026903
47	5.136543406
48	5.126326238
49	5.11456064
50	5.09088765
51	5.07497728
52	5.062272167
53	5.060965977
54	5.054935993
55	5.042793614
56	5.035758487
57	5.02975373
58	5.019819294
59	5.005617634
60	4.991671137
61	4.982710506
62	4.969543105
63	4.962447671
64	4.938886393
65	4.927330651
66	4.919554906
67	4.91057084
68	4.902908315
69	4.892150805
70	4.88669238
71	4.880477703
72	4.868100699
73	4.857216517
74	4.84856593
75	4.838080031
76	4.832505816
77	4.822587408
78	4.818606715
79	4.811098531
80	4.797049647
81	4.792636056
82	4.787537798
83	4.778160913
84	4.764630453
85	4.758696454
86	4.752073725
87	4.748631789
88	4.738339419
89	4.72696994
90	4.724909755
91	4.721392321
92	4.717524848
93	4.716359963
94	4.706943296
95	4.693230141
96	4.683619455
97	4.682643581
98	4.674783885
99	4.66802647
