iter	Passed	Remaining
0	0	98
1	1	93
2	2	83
3	3	79
4	4	79
5	4	78
6	5	76
7	6	76
8	7	76
9	8	76
10	9	76
11	10	74
12	10	72
13	11	72
14	12	72
15	13	70
16	14	70
17	15	69
18	16	68
19	16	67
20	17	66
21	18	65
22	19	64
23	20	64
24	21	63
25	22	62
26	22	61
27	23	60
28	24	60
29	25	59
30	27	60
31	28	59
32	29	58
33	29	57
34	30	56
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	36	51
41	36	50
42	37	49
43	38	48
44	39	48
45	40	48
46	41	47
47	42	46
48	43	45
49	45	45
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	38
58	53	37
59	55	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	70	25
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	81	17
82	82	16
83	83	15
84	84	14
85	86	14
86	89	13
87	89	12
88	90	11
89	92	10
90	93	9
91	94	8
92	96	7
93	97	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	107	0
